epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,epoch_time_seconds,process_rss_mb
1,1.5943236108617804,0.3764892772041303,0.38827635817828715,0.37647527910685813,0.37912030056337587,1.7644420358869763,0.20555555555555555,0.19327420546932741,0.20555555555555557,0.1282430121914957,0.0001,8.944233899994288,518.0078125
2,0.8498971185767528,0.7378872120730738,0.7372031686671686,0.7379129642287537,0.7368550617010506,1.4839080757564969,0.40555555555555556,0.530462325492446,0.4055555555555555,0.35610343194231553,9.990133642141359e-05,8.78362489999563,519.19140625
3,0.5143292012955103,0.840349483717236,0.8408801006248416,0.8403888509151667,0.8403350250123466,1.0849127689997355,0.6944444444444444,0.7472975051697968,0.6944444444444443,0.6936486219954118,9.96057350657239e-05,9.322504099996877,518.4140625
4,0.37601349195665174,0.8776806989674345,0.8761145954826891,0.8777398040555936,0.8765521428136691,0.7722069104512532,0.75,0.7771623093681916,0.75,0.7522461797461797,9.911436253643444e-05,8.98508690000017,525.48046875
5,0.3337872226480646,0.9023034154090548,0.9022821927411594,0.9023543707754232,0.90175700097793,0.5985018346044753,0.8333333333333334,0.8528163580246914,0.8333333333333334,0.8377188490940614,9.842915805643155e-05,9.379799600006663,517.546875
6,0.2902588113680825,0.8967434471803019,0.8968180353927279,0.8967950178476493,0.8967174730809989,0.47520352999369303,0.8555555555555555,0.8652158202074776,0.8555555555555556,0.8572658936779877,9.755282581475769e-05,9.0160074000014,528.59375
7,0.2343657600609815,0.9221604447974583,0.9224861592621584,0.922184248500038,0.9216064887475715,0.35719811783896555,0.8888888888888888,0.8931709880912698,0.888888888888889,0.8901383463908141,9.648882429441257e-05,9.031728500005556,523.1015625
8,0.21266147876609592,0.9308975377283558,0.9315431765386503,0.9309144072301966,0.930871721187764,0.29760716756184896,0.8944444444444445,0.897499836924429,0.8944444444444445,0.8952849989404191,9.524135262330098e-05,8.850061799996183,522.5859375
9,0.16824705592216813,0.9515488482922955,0.9516228345388624,0.9515797068428649,0.9514371506819944,0.25511264867252775,0.9166666666666666,0.9195552070888092,0.9166666666666666,0.9174192337587329,9.381533400219317e-05,8.855790199995681,525.30859375
10,0.16086972981241604,0.9523431294678316,0.9522206021141986,0.952377155008734,0.9522557274658233,0.26615909470452204,0.9111111111111111,0.9155729077772087,0.9111111111111111,0.9116624416050199,9.221639627510075e-05,8.945706699996663,519.14453125
